twitter_user_id,bluesky_user_did
1.00148462687407E+018,did:plc:c2wl5qojxhfrld3vpjpnjlje
2437156646,did:plc:mpzun7grdotnvasfybzzarnw
2965150132,did:plc:c5jvrfopuexduroe37qcud5y
1.43920688543825E+018,did:plc:eimex5yu2lndfbecoscxat43
1.39309044259869E+018,did:plc:nvh5sgtcc2atqnfap6heg5ro
2865739077,did:plc:tdpmyip3bbpbqzfabmwhnu7j
755534384,did:plc:6jb5sv7au24pqs6vbwonsz6e
8.27532801037705E+017,did:plc:hw3wgz3v4tenakkjsjmzlcb5
13753532,did:plc:cvusdxdgswdpmsrahznehe55
196718277,did:plc:ieluhsllcmpkuopalzjxljcm
7285232,did:plc:i6fjmlvvrrygdirj4bfqqcbp
16308186,did:plc:jpn4sxyz3mk7337pbfpdnfee
9943242,did:plc:ocbs2gfetzyohngqugzlawrc
72718118,did:plc:mayrsqxlw3eeio75ppblpknz
1.05886397665688E+018,did:plc:o7b5zb3slsm76cptnast5gzz
3154157932,did:plc:kwujpcyidiu7dlel6bmodwyx
1581870775,did:plc:sxnca6nncdtb52klrovwzyq3
2934105704,did:plc:2jgwzf4yid43mnzdba34jsax
1.65415362319718E+018,did:plc:tbwmjnu3kzyktjnjdis2bcc4
9835742,did:plc:2vjgppx4sogijfl5zhrbugfo
94090412,did:plc:fgb4x43ssxvewnl4uzxwxkxt
1598681,did:plc:4iwhrge7pdmlupkifnlo6gab
3379313068,did:plc:zbflevr5gm36a6yoglnbo3ai
16585958,did:plc:bxurlk32lv6o225kyofz6adq
67824274,did:plc:c5uq7x3p4rdhvcxz6rpry226
1.39964754168417E+018,did:plc:di3fpd4irufeqv6ioqtqizxe
1.11219947128951E+018,did:plc:tvyanl7pmwsb44i6fs6qmejx
241863868,did:plc:yzwpgnurpginbqj464yfih3n
108446116,did:plc:tvle7jxkaw2xsfhj5kb4g73m
97504885,did:plc:qe2sgie6a3r6v7pxpzgtycxg
7.58261472065626E+017,did:plc:6petome3zss6wqqrsw2oss3s
1.14379715002496E+018,did:plc:n4lbnne237b33mvpyfxtgnct
