twitter_user_id,mastodon_user_id,mastodon_server_hostname
51514805,1.08193944612267E+017,mastodon.gamedev.place
43707037,1.09372557102378E+017,mastodon.world
792360012,1.09423140906824E+017,fosstodon.org
2921160859,1.09530184559698E+017,mastodon.world
837787658,1.09291286567267E+017,fosstodon.org
9.67548081360253E+017,1.09290786298389E+017,fosstodon.org
40144582,1.09362784360225E+017,hachyderm.io
10330092,1.09262536189468E+017,oldbytes.space
22067190,1.09256374239584E+017,mastodon.social
8.90875992109195E+017,1.09279036136486E+017,mastodon.social
47080586,1.09244972710195E+017,chaos.social
3563601,430028,mastodon.social
1.26977712344054E+018,1.09316239546008E+017,infosec.exchange
1877610524,1.09257782673313E+017,mas.to
267733770,1.09381624707814E+017,mstdn.social
1.21976411424481E+018,1.09367802690028E+017,c.im
17612911,1978,bcostodon.lol
23736375,1.09597863081941E+017,mastodon.world
178256726,1.09290698446711E+017,tooting.ch
22963112,1.09290510750742E+017,akademienl.social
1.13324521471237E+018,1.09302694740233E+017,fediscience.org
14868494,1.09366399137276E+017,newsie.social
20656844,1.09706950373727E+017,mastodon.world
4848819296,1.07185073860084E+017,aus.social
1.48710705712793E+018,1.09338192039637E+017,fosstodon.org
16009329,1.09132639926429E+017,fosstodon.org
2223291,411256,mastodon.social
1819361,1.09309359144013E+017,livellosegreto.it
17201687,1.09372522220026E+017,mastodon.world
89827230,1.09252437056333E+017,fediscience.org
8.64236562317443E+017,1.09291151562172E+017,meow.social
354740222,9ouN7TxH3svMN6gWHo,shitposter.club
18208873,1.09508924684445E+017,techhub.social
62178289,1.09336527598888E+017,hcommons.social
1.17668873940339E+018,1.09615411505074E+017,sciences.social
20594175,1.09444183359761E+017,historians.social
176204636,1.09364035301863E+017,mastodon.scot
552421964,1.09405612175228E+017,historians.social
8.07249560179507E+017,1.09304840396341E+017,eldritch.cafe
4837055894,1.09294211555795E+017,fosstodon.org
82564066,1.09285091027635E+017,data-folks.masto.host
12933082,11756,mastodon.social
42629531,1.09303923526679E+017,masto.ai
250870107,1.09244783153912E+017,c.im
8676582,1.09304226942089E+017,infosec.exchange
61650048,1.09738067944963E+017,hachyderm.io
1.06971599355396E+018,1.09359934052417E+017,mastodon.social
17970896,1.09389749786748E+017,mastodon.energy
14000542,216,vis.social
732063,1.10652356273185E+017,mastodon.design
1898733330,1.09599070561962E+017,sigmoid.social
21222599,1.09304237958254E+017,c.im
14161178,1.092750223711E+017,ruby.social
18683781,1.09303405159126E+017,mas.to
25646079,1.09303888939948E+017,mastodon.world
1172860423,1.09327350358989E+017,kolektiva.social
83879634,1.09292786472846E+017,sfba.social
5380022,621,xoxo.zone
9.33593582874911E+017,1.09417214173839E+017,mastodon.world
16823157,1.09288159604395E+017,toot.community
2398513364,1.09331242087724E+017,peoplemaking.games
43582959,1.09113381814032E+017,det.social
474143,1.09286530738724E+017,hachyderm.io
1.29104239764069E+018,1.09290508068242E+017,drosophila.social
79192038,1.09302455007675E+017,fediscience.org
14438478,1.0958400169374E+017,any.dev
1857263948,1.09799847662197E+017,ecoevo.social
1.34615732743558E+018,1.09247987127879E+017,troet.cafe
123868027,1.09512454356147E+017,mastodon.social
32385319,1.09397661868908E+017,piaille.fr
76114666,1.09534259495833E+017,tldr.nettime.org
4826007138,1.09299885062275E+017,infosec.exchange
1.02386398517785E+018,58463,infosec.exchange
77424905,1.10358245421226E+017,infosec.exchange
19511641,1.09928656468392E+017,unreliable.associates
1962591,26933,openbiblio.social
24086519,1.09293723753657E+017,c.im
2557545144,1.07996857488803E+017,queer.party
20588605,18643,mastodon.social
4572771,1.09291366135188E+017,infosec.exchange
546876880,1.09541713573243E+017,akademienl.social
740913,AKLtcghQ1MhtEpT9Ky,social.gabekangas.com
10330212,1.072151324084E+017,fosstodon.org
94541237,1.0821477685518E+017,mastodon.online
29234911,1.09281516376483E+017,mastodon.org.uk
1159558771,1.09522433466486E+017,techhub.social
484358657,1.09314315407221E+017,fosstodon.org
1.26853897124155E+018,1.0930437067863E+017,climatejustice.social
4266253955,1.09298554941305E+017,fediscience.org
15151830,1.09297423102213E+017,androiddev.social
3155507313,1.08204144949781E+017,social.anoxinon.de
630543777,1.0938198095839E+017,cultur.social
23420217,1.09289346836712E+017,social.anoxinon.de
7.17727933415223E+017,1.09366691222754E+017,infosec.exchange
84612895,1.09363800173102E+017,infosec.exchange
3092209905,1.09311495723568E+017,fosstodon.org
615843,1.09427711696916E+017,hachyderm.io
291233424,1.0933581603529E+017,ruhr.social
7.53190654491132E+017,1.10059801751961E+017,vmst.io
14200317,1.09246505722896E+017,fosstodon.org
7.76140890075238E+017,1.09366527199094E+017,mathstodon.xyz
2550053928,1.09365353592315E+017,troet.cafe
107829965,1.09347879679779E+017,infosec.exchange
9.38360848648753E+017,1.09398174709502E+017,scicomm.xyz
92212247,1.09408072306366E+017,hachyderm.io
65365010,111646,mastodon.social
18730495,1.09383210725233E+017,mastodon.gamedev.place
2950357993,1.09521574573354E+017,c.im
22394209,1.09284478160318E+017,aus.social
20499721,301439,mastodon.social
24554929,1.09384041411613E+017,masto.ai
37412405,1.0937325818766E+017,social.coop
426566843,1.09257730538634E+017,mastodon.online
14152505,48337,functional.cafe
240678961,1.09344026287014E+017,infosec.exchange
23399520,1.09508908376108E+017,mastodon.social
4373891,510608,mastodon.social
1.11065986990704E+018,1.09307235759029E+017,rollenspiel.social
11844,8155,mastodon.social
439313992,1.09302239872389E+017,sciences.social
174351771,1.08194336372415E+017,mstdn.social
3245521,27809,mastodon.social
311130367,1.0944523175531E+017,kolektiva.social
9.29887198719066E+017,1.09297538001087E+017,toot.bldrweb.org
1.43893118373633E+018,1.09297916353856E+017,c.im
8467022,1.09314715037656E+017,piaille.fr
17635878,1.08204177767588E+017,types.pl
1.10919319246795E+018,1.09298433662784E+017,c.im
16793,1.09536728938787E+017,tilde.zone
28783690,1.08135149956178E+017,chaos.social
8.13705267430953E+017,1.09243239252947E+017,chaos.social
125542542,1.09346667708213E+017,mastodon.au
1529730752,1.09376913216934E+017,sigmoid.social
345501811,23307,social.tchncs.de
1674565926,1.09364388022382E+017,sciences.social
3196262764,1.09264944180278E+017,mstdn.social
27761058,1.09540669906694E+017,openedtech.social
9.37889981678473E+017,1.1029085934784E+017,tech.lgbt
2647394298,235332,chaos.social
22588327,1.09300741625161E+017,hci.social
23543141,1.09598873889709E+017,fosstodon.org
1.02028587752264E+018,292253,fosstodon.org
1.05215111436202E+018,1.09297767743388E+017,c.im
15185758,1.09298337794767E+017,mstdn.ca
14772180,92994,chaos.social
14187722,1.09364279793976E+017,medibubble.org
76132599,1.09253299994127E+017,infosec.exchange
184912739,1.09819706383572E+017,mstdn.social
2372170801,1.09536515673749E+017,mstdn.games
19496081,APeqHAM2NEd69HCN4S,social.zagrodnick.de
8.32660821461176E+017,1.08194139476566E+017,tech.lgbt
8.74897665661817E+017,1.09370828574509E+017,mstdn.science
9.56674177033015E+017,1.09291941183846E+017,fosstodon.org
12341222,1621,oulipo.social
205034746,1.09270248445743E+017,scicomm.xyz
19483200,1.08236707778306E+017,mastodon.social
19620120,1.09389501529406E+017,mastodon.world
22277496,1.09245824485515E+017,mastodon.social
6133322,34260,mastodon.social
14637074,1.09274087254926E+017,phpc.social
6817082,1.09462414751496E+017,bolha.us
17782233,1.0924549689783E+017,muenchen.social
3031842281,1.09415372615117E+017,wandering.shop
605573157,1.09365299635697E+017,mastodon.world
29795838,1.08609390260131E+017,hci.social
288872999,1.10374857621435E+017,aoir.social
14149791,1.09938288604763E+017,mastodon.social
7.99615432319758E+017,1.10171640236859E+017,sciences.social
7359382,1,plock.social
5953312,1.09392551762673E+017,fantastic.earth
13796642,1.09348176431252E+017,infosec.exchange
774909,385610,mastodon.social
47587845,1.10773592530816E+017,mas.to
486228479,1.09373589820384E+017,mastodon.world
798700,1.09374211889724E+017,infosec.exchange
3345454564,1.09367536121843E+017,infosec.exchange
27624938,490346,mastodon.social
1.00739703032981E+018,AO03gVS5qlX81YVG52,novo-atlantis.null.media
1096861616,1.09377369708726E+017,mastodon.world
399248232,1.09361664782413E+017,mastodon.world
19527501,1.09275014600769E+017,mastodon.online
25095876,1.09415513568162E+017,mastodon.gamedev.place
14628846,1.08284448676878E+017,hci.social
10375182,1.09514060539304E+017,twit.social
